MONTH,RESTAURANT_ID,IS_VEG,BRAND_NAME,CITY,AREA,ITEM_ID,ITEM_NAME,ITEM_CATEGORY,VARIANT_NAME,PRICE_PER_ITEM,ITEM_QUANTITY,ITEM_SUBTOTAL
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105393,Chana Masala,"Main Course""""",,222.4,25,5560
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105372,Dal Khichdi,"Rice & Biryani""""",,176.6123188,276,48745
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105359,Dal Dhokli,"Flavours of Rajasthan""""",,230,5,1150
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105267,Gobi Manchurian Dry,"Starters""""",,255,6,1530
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,109178716,Mutter Paratha,"Parathas""""",,145,6,870
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105214,B.Kulcha ,"Indian Breads""""",,70,174,12180
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105232,Plain Phulka 1Pc,"Indian Breads""""",,15,108,1620
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105297,Veg Jaipuri,"Main Course""""",,240,5,1200
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105365,Steamed Rice,"Rice & Biryani""""",,108.5714286,28,3040
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105329,Sev Tamatar,"Flavours of Rajasthan""""",,247.2077922,77,19035
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105386,Plain Bajra Roti,"Indian Breads""""",,45,39,1755
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105332,Aloo Kanda,"Flavours of Rajasthan""""",,230,3,690
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105300,Veg Makhanwala,"Main Course""""",,230,4,920
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,59614568,Veg Kolhapuri Combo,"Swiggy Exclusive Combos""""",,256,20,5120
1,56509,1,Adarsh Annapoorna,Mumbai,Chowpatty,14105343,Paneer Chilli Gravy,"Main Course""""",,190,8,1520
